pais;iso3;anio;valor_en_porcentaje;anioString;colorPais
Países Bajos;NLD;1967;0;1967;#720034
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1967;3.4704354;1967;#FF7B03
Pakistán;PAK;1967;8.392018;1967;#FF7B03
Perú;PER;1967;13.701914;1967;#FF7B03
Polonia;POL;1967;0.3647668;1967;#006CBA
Rumania;ROU;1967;1.3156693;1967;#000000
Arabia Saudita;SAU;1967;0;1967;#000000
Eslovaquia;SVK;1967;4.855119;1967;#C43E3E
Taiwán (China);TWN;1967;9.467523;1967;#720034
Estados Unidos;USA;1967;4.687128;1967;#608584
Venezuela;VEN;1967;2.3735323;1967;#FF7B03
Sudáfrica;ZAF;1967;0.020714175;1967;#FF7B03
Australia;AUS;1968;4.8654675;1968;#C43E3E
Austria;AUT;1968;25.099167;1968;#4B4BB0
Argentina;ARG;1968;1.2272897;1968;#FF7B03
Brasil;BRA;1968;25.555754;1968;#006CBA
Chile;CHL;1968;13.367759;1968;#000000
Mundo;OWID_WRL;1968;6.6903105;1968;#ABBABA
Bélgica;BEL;1968;0.19221336;1968;#608584
Bulgaria;BGR;1968;2.3115647;1968;#FF7B03
Canadá;CAN;1968;24.632303;1968;#006CBA
Suiza;CHE;1968;39.6735;1968;#000000
China;CHN;1968;4.458871;1968;#C43E3E
Colombia;COL;1968;12.023638;1968;#C43E3E
República Checa;CZE;1968;0.89475876;1968;#4B4BB0
Alemania;DEU;1968;1.7341964;1968;#4B4BB0
Argelia;DZA;1968;5.4861946;1968;#720034
Egipto;EGY;1968;9.956792;1968;#608584
Francia;FRA;1968;10.6739235;1968;#000000
Reino Unido;GBR;1968;3.5381756;1968;#C43E3E
Hungría;HUN;1968;0.14179073;1968;#720034
Indonesia;IDN;1968;11.010139;1968;#720034
India;IND;1968;10.8575325;1968;#608584
Irán;IRN;1968;4.9317336;1968;#608584
Italia;ITA;1968;12.211649;1968;#ABBABA
Japón;JPN;1968;8.5672655;1968;#ABBABA
Luxemburgo;LUX;1968;0.621158;1968;#C43E3E
Marruecos;MAR;1968;11.826925;1968;#4B4BB0
México;MEX;1968;10.842833;1968;#4B4BB0
Países Bajos;NLD;1968;0.015150955;1968;#720034
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1968;3.9467227;1968;#FF7B03
Pakistán;PAK;1968;8.885178;1968;#FF7B03
Perú;PER;1968;14.438607;1968;#FF7B03
Polonia;POL;1968;0.35622162;1968;#006CBA
Rumania;ROU;1968;1.3085219;1968;#000000
Arabia Saudita;SAU;1968;0;1968;#000000
Eslovaquia;SVK;1968;4.0370173;1968;#C43E3E
Taiwán (China);TWN;1968;12.089816;1968;#720034
Estados Unidos;USA;1968;4.55479;1968;#608584
Venezuela;VEN;1968;3.6946754;1968;#FF7B03
Sudáfrica;ZAF;1968;0.018117523;1968;#FF7B03
Australia;AUS;1969;5.086988;1969;#C43E3E
Austria;AUT;1969;22.27537;1969;#4B4BB0
Argentina;ARG;1969;1.0651326;1969;#FF7B03
Brasil;BRA;1969;25.05622;1969;#006CBA
Chile;CHL;1969;13.999327;1969;#000000
Bélgica;BEL;1969;0.14537379;1969;#608584
Mundo;OWID_WRL;1969;6.6726766;1969;#ABBABA
Bulgaria;BGR;1969;2.9225402;1969;#FF7B03
Canadá;CAN;1969;25.60727;1969;#006CBA
Suiza;CHE;1969;37.368385;1969;#000000
China;CHN;1969;3.7274022;1969;#C43E3E
Colombia;COL;1969;13.203888;1969;#C43E3E
República Checa;CZE;1969;0.7005399;1969;#4B4BB0
Alemania;DEU;1969;1.5954081;1969;#4B4BB0
Argelia;DZA;1969;3.1827633;1969;#720034
Egipto;EGY;1969;16.08243;1969;#608584
España;ESP;1969;18.939919;1969;#FF7B03
Francia;FRA;1969;10.249425;1969;#000000
Reino Unido;GBR;1969;3.6926992;1969;#C43E3E
Hungría;HUN;1969;0.14133148;1969;#720034
Indonesia;IDN;1969;10.201887;1969;#720034
India;IND;1969;11.137484;1969;#608584
Irán;IRN;1969;4.837112;1969;#608584
Italia;ITA;1969;10.840629;1969;#ABBABA
Japón;JPN;1969;7.7167706;1969;#ABBABA
Luxemburgo;LUX;1969;0.50225776;1969;#C43E3E
Marruecos;MAR;1969;13.944498;1969;#4B4BB0
México;MEX;1969;10.4753;1969;#4B4BB0
Países Bajos;NLD;1969;0.152845;1969;#720034
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1969;4.190106;1969;#FF7B03
Pakistán;PAK;1969;9.32975;1969;#FF7B03
Perú;PER;1969;15.602732;1969;#FF7B03
Polonia;POL;1969;0.28452122;1969;#006CBA
Rumania;ROU;1969;1.6154395;1969;#000000
Arabia Saudita;SAU;1969;0;1969;#000000
Eslovaquia;SVK;1969;3.0090575;1969;#C43E3E
Taiwán (China);TWN;1969;9.123023;1969;#720034
Estados Unidos;USA;1969;4.835468;1969;#608584
Venezuela;VEN;1969;4.2418756;1969;#FF7B03
Sudáfrica;ZAF;1969;0.015396576;1969;#FF7B03
Australia;AUS;1970;5.421451;1970;#C43E3E
Austria;AUT;1970;24.770256;1970;#4B4BB0
Bélgica;BEL;1970;0.16478363;1970;#608584
Argentina;ARG;1970;1.3533598;1970;#FF7B03
Brasil;BRA;1970;27.117094;1970;#006CBA
Chile;CHL;1970;14.19122;1970;#000000
Mundo;OWID_WRL;1970;6.6527715;1970;#ABBABA
Bulgaria;BGR;1970;3.0394952;1970;#FF7B03
Canadá;CAN;1970;25.18255;1970;#006CBA
Suiza;CHE;1970;36.64664;1970;#000000
China;CHN;1970;3.0095923;1970;#C43E3E
Colombia;COL;1970;13.413398;1970;#C43E3E
República Checa;CZE;1970;0.9598853;1970;#4B4BB0
Alemania;DEU;1970;2.0274239;1970;#4B4BB0
Argelia;DZA;1970;4.6656837;1970;#720034
Egipto;EGY;1970;15.164636;1970;#608584
España;ESP;1970;16.054634;1970;#FF7B03
Francia;FRA;1970;10.436109;1970;#000000
Reino Unido;GBR;1970;3.4190855;1970;#C43E3E
Hungría;HUN;1970;0.12151648;1970;#720034
Indonesia;IDN;1970;11.57067;1970;#720034
India;IND;1970;12.270132;1970;#608584
Irán;IRN;1970;4.4152985;1970;#608584
Italia;ITA;1970;10.050793;1970;#ABBABA
Japón;JPN;1970;7.233779;1970;#ABBABA
Luxemburgo;LUX;1970;0.53466296;1970;#C43E3E
Marruecos;MAR;1970;13.103196;1970;#4B4BB0
México;MEX;1970;10.981713;1970;#4B4BB0
Malasia;MYS;1970;8.029954;1970;#720034
Países Bajos;NLD;1970;0.15826146;1970;#720034
Nueva Zelanda;NZL;1970;38.82334;1970;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1970;4.3159747;1970;#FF7B03
Pakistán;PAK;1970;8.390381;1970;#FF7B03
Perú;PER;1970;14.4538965;1970;#FF7B03
Polonia;POL;1970;0.5491499;1970;#006CBA
Rumania;ROU;1970;1.8980381;1970;#000000
Arabia Saudita;SAU;1970;0;1970;#000000
Eslovaquia;SVK;1970;4.1029906;1970;#C43E3E
Taiwán (China);TWN;1970;7.867682;1970;#720034
Estados Unidos;USA;1970;4.7585278;1970;#608584
Venezuela;VEN;1970;5.406153;1970;#FF7B03
Sudáfrica;ZAF;1970;0.017539408;1970;#FF7B03
Australia;AUS;1971;5.8227277;1971;#C43E3E
Austria;AUT;1971;19.6523;1971;#4B4BB0
Bélgica;BEL;1971;0.07485565;1971;#608584
Argentina;ARG;1971;1.2702763;1971;#FF7B03
Bangladesh;BGD;1971;3.859758;1971;#608584
Brasil;BRA;1971;26.37442;1971;#006CBA
Chile;CHL;1971;14.860414;1971;#000000
Mundo;OWID_WRL;1971;6.8122854;1971;#ABBABA
Bulgaria;BGR;1971;2.9434657;1971;#FF7B03
Canadá;CAN;1971;25.556093;1971;#006CBA
Suiza;CHE;1971;35.24591;1971;#000000
China;CHN;1971;3.0704048;1971;#C43E3E
Colombia;COL;1971;14.3879595;1971;#C43E3E
República Checa;CZE;1971;0.64512116;1971;#4B4BB0
Alemania;DEU;1971;1.6637679;1971;#4B4BB0
Argelia;DZA;1971;2.4559188;1971;#720034
Egipto;EGY;1971;15.877998;1971;#608584
España;ESP;1971;17.417469;1971;#FF7B03
Francia;FRA;1971;9.354795;1971;#000000
Reino Unido;GBR;1971;3.5202503;1971;#C43E3E
Hungría;HUN;1971;0.128392;1971;#720034
Indonesia;IDN;1971;4.00115;1971;#720034
India;IND;1971;12.774062;1971;#608584
Irán;IRN;1971;4.3325543;1971;#608584
Italia;ITA;1971;9.320574;1971;#ABBABA
Japón;JPN;1971;7.818609;1971;#ABBABA
Luxemburgo;LUX;1971;0.31431046;1971;#C43E3E
Marruecos;MAR;1971;13.923879;1971;#4B4BB0
México;MEX;1971;10.142723;1971;#4B4BB0
Malasia;MYS;1971;6.2558084;1971;#720034
Países Bajos;NLD;1971;0.16516818;1971;#720034
Nueva Zelanda;NZL;1971;41.630173;1971;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1971;4.199794;1971;#FF7B03
Pakistán;PAK;1971;11.862198;1971;#FF7B03
Perú;PER;1971;17.671724;1971;#FF7B03
Polonia;POL;1971;0.48687243;1971;#006CBA
Rumania;ROU;1971;2.8985322;1971;#000000
Arabia Saudita;SAU;1971;0;1971;#000000
Eslovaquia;SVK;1971;2.8729024;1971;#C43E3E
Taiwán (China);TWN;1971;6.7593374;1971;#720034
Estados Unidos;USA;1971;5.2267337;1971;#608584
Venezuela;VEN;1971;6.983936;1971;#FF7B03
Sudáfrica;ZAF;1971;0.07294351;1971;#FF7B03
Australia;AUS;1972;5.599285;1972;#C43E3E
Austria;AUT;1972;19.524149;1972;#4B4BB0
Bélgica;BEL;1972;0.10013115;1972;#608584
Bangladesh;BGD;1972;3.406534;1972;#608584
Argentina;ARG;1972;1.2349532;1972;#FF7B03
Brasil;BRA;1972;27.116016;1972;#006CBA
Chile;CHL;1972;17.308092;1972;#000000
Bulgaria;BGR;1972;2.7616532;1972;#FF7B03
Mundo;OWID_WRL;1972;6.941994;1972;#ABBABA
Canadá;CAN;1972;26.880077;1972;#006CBA
Suiza;CHE;1972;32.882725;1972;#000000
China;CHN;1972;3.227597;1972;#C43E3E
Colombia;COL;1972;13.823888;1972;#C43E3E
República Checa;CZE;1972;0.6712159;1972;#4B4BB0
Alemania;DEU;1972;1.8386331;1972;#4B4BB0
Argelia;DZA;1972;3.278343;1972;#720034
Egipto;EGY;1972;14.63569;1972;#608584
España;ESP;1972;18.831684;1972;#FF7B03
Francia;FRA;1972;9.5122;1972;#000000
Reino Unido;GBR;1972;3.673574;1972;#C43E3E
Hungría;HUN;1972;0.14248806;1972;#720034
Indonesia;IDN;1972;3.3738363;1972;#720034
India;IND;1972;11.776673;1972;#608584
Irán;IRN;1972;5.018947;1972;#608584
Italia;ITA;1972;9.287752;1972;#ABBABA
Japón;JPN;1972;7.6518364;1972;#ABBABA
Luxemburgo;LUX;1972;0.35941938;1972;#C43E3E
Marruecos;MAR;1972;13.526379;1972;#4B4BB0
México;MEX;1972;9.780027;1972;#4B4BB0
Malasia;MYS;1972;6.1961737;1972;#720034
Países Bajos;NLD;1972;0.11446433;1972;#720034
Nueva Zelanda;NZL;1972;41.191326;1972;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1972;4.0271845;1972;#FF7B03
Pakistán;PAK;1972;13.898219;1972;#FF7B03
Perú;PER;1972;20.367374;1972;#FF7B03
Polonia;POL;1972;0.4683993;1972;#006CBA
Rumania;ROU;1972;4.4929147;1972;#000000
Arabia Saudita;SAU;1972;0;1972;#000000
Eslovaquia;SVK;1972;2.8667028;1972;#C43E3E
Taiwán (China);TWN;1972;7.442085;1972;#720034
Estados Unidos;USA;1972;5.3539753;1972;#608584
Venezuela;VEN;1972;7.378936;1972;#FF7B03
Sudáfrica;ZAF;1972;0.52579415;1972;#FF7B03
