pais;iso3;anio;valor_en_porcentaje;anioString;colorPais
Argelia;DZA;1977;0.8817282;1977;#720034
Egipto;EGY;1977;16.571007;1977;#608584
España;ESP;1977;16.74441;1977;#FF7B03
Finlandia;FIN;1977;18.36673;1977;#000000
Francia;FRA;1977;12.939471;1977;#000000
Reino Unido;GBR;1977;5.044491;1977;#C43E3E
Hungría;HUN;1977;0.14541946;1977;#720034
Indonesia;IDN;1977;2.34783;1977;#720034
India;IND;1977;12.903142;1977;#608584
Irán;IRN;1977;2.8250146;1977;#608584
Italia;ITA;1977;10.263176;1977;#ABBABA
Japón;JPN;1977;7.570321;1977;#ABBABA
Luxemburgo;LUX;1977;0.69326395;1977;#C43E3E
Marruecos;MAR;1977;7.88484;1977;#4B4BB0
México;MEX;1977;8.738277;1977;#4B4BB0
Malasia;MYS;1977;2.8693047;1977;#720034
Países Bajos;NLD;1977;1.5085223;1977;#720034
Noruega;NOR;1977;64.26859;1977;#608584
Nueva Zelanda;NZL;1977;36.97633;1977;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1977;4.721385;1977;#FF7B03
Pakistán;PAK;1977;16.396587;1977;#FF7B03
Perú;PER;1977;19.299877;1977;#FF7B03
Polonia;POL;1977;0.49482882;1977;#006CBA
Rumania;ROU;1977;4.187206;1977;#000000
Arabia Saudita;SAU;1977;0;1977;#000000
Eslovaquia;SVK;1977;3.728671;1977;#C43E3E
Taiwán (China);TWN;1977;5.116251;1977;#720034
Estados Unidos;USA;1977;7.135481;1977;#608584
Venezuela;VEN;1977;9.939145;1977;#FF7B03
Sudáfrica;ZAF;1977;0.9714049;1977;#FF7B03
Australia;AUS;1978;5.508697;1978;#C43E3E
Austria;AUT;1978;24.244625;1978;#4B4BB0
Bélgica;BEL;1978;6.437148;1978;#608584
Bangladesh;BGD;1978;5.5367117;1978;#608584
Bulgaria;BGR;1978;8.274549;1978;#FF7B03
Canadá;CAN;1978;30.484804;1978;#006CBA
Suiza;CHE;1978;40.785473;1978;#000000
China;CHN;1978;2.7594638;1978;#C43E3E
Argentina;ARG;1978;7.0858197;1978;#FF7B03
Brasil;BRA;1978;30.963718;1978;#006CBA
Chile;CHL;1978;22.151817;1978;#000000
Mundo;OWID_WRL;1978;8.82472;1978;#ABBABA
Colombia;COL;1978;20.633047;1978;#C43E3E
República Checa;CZE;1978;0.8529741;1978;#4B4BB0
Alemania;DEU;1978;4.407154;1978;#4B4BB0
Argelia;DZA;1978;0.6521151;1978;#720034
Egipto;EGY;1978;17.237104;1978;#608584
España;ESP;1978;17.292536;1978;#FF7B03
Finlandia;FIN;1978;15.522062;1978;#000000
Francia;FRA;1978;12.918242;1978;#000000
Reino Unido;GBR;1978;4.711753;1978;#C43E3E
Hungría;HUN;1978;0.12593117;1978;#720034
Indonesia;IDN;1978;1.49063;1978;#720034
India;IND;1978;15.391042;1978;#608584
Irán;IRN;1978;4.5260034;1978;#608584
Italia;ITA;1978;9.231106;1978;#ABBABA
Japón;JPN;1978;8.93935;1978;#ABBABA
Luxemburgo;LUX;1978;0.65441746;1978;#C43E3E
Marruecos;MAR;1978;7.7057586;1978;#4B4BB0
México;MEX;1978;6.597964;1978;#4B4BB0
Malasia;MYS;1978;2.5391793;1978;#720034
Países Bajos;NLD;1978;1.711121;1978;#720034
Noruega;NOR;1978;64.17826;1978;#608584
Nueva Zelanda;NZL;1978;39.497875;1978;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1978;5.0810037;1978;#FF7B03
Pakistán;PAK;1978;18.48265;1978;#FF7B03
Perú;PER;1978;19.762915;1978;#FF7B03
Polonia;POL;1978;0.46934918;1978;#006CBA
Rumania;ROU;1978;4.4158015;1978;#000000
Arabia Saudita;SAU;1978;0;1978;#000000
Eslovaquia;SVK;1978;3.2149608;1978;#C43E3E
Taiwán (China);TWN;1978;7.917228;1978;#720034
Estados Unidos;USA;1978;8.192759;1978;#608584
Venezuela;VEN;1978;9.782297;1978;#FF7B03
Sudáfrica;ZAF;1978;0.96227163;1978;#FF7B03
Australia;AUS;1979;5.1658406;1979;#C43E3E
Austria;AUT;1979;25.784454;1979;#4B4BB0
Bélgica;BEL;1979;5.7608137;1979;#608584
Bangladesh;BGD;1979;5.825672;1979;#608584
Bulgaria;BGR;1979;8.586367;1979;#FF7B03
Canadá;CAN;1979;31.059208;1979;#006CBA
Suiza;CHE;1979;42.576237;1979;#000000
China;CHN;1979;3.008899;1979;#C43E3E
Argentina;ARG;1979;8.312162;1979;#FF7B03
Brasil;BRA;1979;32.51719;1979;#006CBA
Chile;CHL;1979;21.552887;1979;#000000
Colombia;COL;1979;21.762644;1979;#C43E3E
Mundo;OWID_WRL;1979;8.943431;1979;#ABBABA
República Checa;CZE;1979;1.0576006;1979;#4B4BB0
Alemania;DEU;1979;4.7160487;1979;#4B4BB0
Argelia;DZA;1979;0.5792936;1979;#720034
Egipto;EGY;1979;15.267534;1979;#608584
España;ESP;1979;17.786201;1979;#FF7B03
Finlandia;FIN;1979;19.237047;1979;#000000
Francia;FRA;1979;13.466322;1979;#000000
Reino Unido;GBR;1979;4.645052;1979;#C43E3E
Hungría;HUN;1979;0.13454616;1979;#720034
Indonesia;IDN;1979;1.4562845;1979;#720034
India;IND;1979;14.103171;1979;#608584
Irlanda;IRL;1979;2.3525975;1979;#608584
Irán;IRN;1979;3.6342711;1979;#608584
Italia;ITA;1979;8.741142;1979;#ABBABA
Japón;JPN;1979;10.052746;1979;#ABBABA
Luxemburgo;LUX;1979;0.69214594;1979;#C43E3E
Marruecos;MAR;1979;7.719043;1979;#4B4BB0
México;MEX;1979;6.7473707;1979;#4B4BB0
Malasia;MYS;1979;2.6952229;1979;#720034
Países Bajos;NLD;1979;1.4459108;1979;#720034
Noruega;NOR;1979;65.86465;1979;#608584
Nueva Zelanda;NZL;1979;44.850327;1979;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1979;5.152096;1979;#FF7B03
Pakistán;PAK;1979;18.069641;1979;#FF7B03
Perú;PER;1979;20.380562;1979;#FF7B03
Polonia;POL;1979;0.42775407;1979;#006CBA
Rumania;ROU;1979;4.625903;1979;#000000
Arabia Saudita;SAU;1979;0;1979;#000000
Eslovaquia;SVK;1979;5.4123397;1979;#C43E3E
Taiwán (China);TWN;1979;10.541493;1979;#720034
Estados Unidos;USA;1979;7.8222456;1979;#608584
Venezuela;VEN;1979;10.329237;1979;#FF7B03
Sudáfrica;ZAF;1979;0.5590492;1979;#FF7B03
Australia;AUS;1980;4.862272;1980;#C43E3E
Austria;AUT;1980;26.826015;1980;#4B4BB0
Bélgica;BEL;1980;6.6043563;1980;#608584
Bangladesh;BGD;1980;4.96088;1980;#608584
Bulgaria;BGR;1980;8.474185;1980;#FF7B03
Canadá;CAN;1980;31.51935;1980;#006CBA
Suiza;CHE;1980;45.622498;1980;#000000
China;CHN;1980;3.566198;1980;#C43E3E
Colombia;COL;1980;22.777384;1980;#C43E3E
Argentina;ARG;1980;10.958725;1980;#FF7B03
Brasil;BRA;1980;35.243515;1980;#006CBA
Chile;CHL;1980;22.069942;1980;#000000
República Checa;CZE;1980;1.1426239;1980;#4B4BB0
Mundo;OWID_WRL;1980;9.40021;1980;#ABBABA
Alemania;DEU;1980;5.1990204;1980;#4B4BB0
Argelia;DZA;1980;0.4290016;1980;#720034
Egipto;EGY;1980;13.69403;1980;#608584
España;ESP;1980;11.640144;1980;#FF7B03
Finlandia;FIN;1980;18.891968;1980;#000000
Francia;FRA;1980;16.647429;1980;#000000
Reino Unido;GBR;1980;4.902943;1980;#C43E3E
Hungría;HUN;1980;0.10290331;1980;#720034
Indonesia;IDN;1980;1.2272301;1980;#720034
India;IND;1980;14.023217;1980;#608584
Irlanda;IRL;1980;2.4656003;1980;#608584
Irán;IRN;1980;4.064726;1980;#608584
Israel;ISR;1980;0;1980;#FF7B03
Italia;ITA;1980;8.802953;1980;#ABBABA
Japón;JPN;1980;11.690446;1980;#ABBABA
Luxemburgo;LUX;1980;0.77743924;1980;#C43E3E
Marruecos;MAR;1980;7.3711247;1980;#4B4BB0
México;MEX;1980;5.803557;1980;#4B4BB0
Malasia;MYS;1980;3.2901187;1980;#720034
Países Bajos;NLD;1980;1.7411675;1980;#720034
Noruega;NOR;1980;65.25247;1980;#608584
Nueva Zelanda;NZL;1980;46.991554;1980;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1980;5.6027513;1980;#FF7B03
Pakistán;PAK;1980;17.12823;1980;#FF7B03
Perú;PER;1980;19.653427;1980;#FF7B03
Polonia;POL;1980;0.5173495;1980;#006CBA
Rumania;ROU;1980;5.1059155;1980;#000000
Arabia Saudita;SAU;1980;0;1980;#000000
Eslovaquia;SVK;1980;8.905686;1980;#C43E3E
Taiwán (China);TWN;1980;10.143001;1980;#720034
Estados Unidos;USA;1980;8.033562;1980;#608584
Venezuela;VEN;1980;9.45448;1980;#FF7B03
Sudáfrica;ZAF;1980;0.45417184;1980;#FF7B03
Australia;AUS;1981;4.930354;1981;#C43E3E
Austria;AUT;1981;29.280653;1981;#4B4BB0
Bélgica;BEL;1981;7.1601987;1981;#608584
Bangladesh;BGD;1981;5.0166492;1981;#608584
Bulgaria;BGR;1981;11.048305;1981;#FF7B03
Canadá;CAN;1981;33.6213;1981;#006CBA
Suiza;CHE;1981;48.46403;1981;#000000
China;CHN;1981;4.066497;1981;#C43E3E
Colombia;COL;1981;22.155632;1981;#C43E3E
República Checa;CZE;1981;0.9889818;1981;#4B4BB0
Argentina;ARG;1981;11.287144;1981;#FF7B03
Brasil;BRA;1981;36.3235;1981;#006CBA
Chile;CHL;1981;22.72726;1981;#000000
Mundo;OWID_WRL;1981;10.062484;1981;#ABBABA
Alemania;DEU;1981;6.1013775;1981;#4B4BB0
Argelia;DZA;1981;0.50294036;1981;#720034
Egipto;EGY;1981;12.52634;1981;#608584
España;ESP;1981;10.44322;1981;#FF7B03
Finlandia;FIN;1981;30.572697;1981;#000000
Francia;FRA;1981;22.63198;1981;#000000
Reino Unido;GBR;1981;5.2179065;1981;#C43E3E
Hungría;HUN;1981;0.15593338;1981;#720034
Indonesia;IDN;1981;1.1406815;1981;#720034
India;IND;1981;13.466771;1981;#608584
Irlanda;IRL;1981;2.5970182;1981;#608584
Irán;IRN;1981;4.4219165;1981;#608584
Israel;ISR;1981;0.006281011;1981;#FF7B03
Italia;ITA;1981;8.595571;1981;#ABBABA
Japón;JPN;1981;12.163535;1981;#ABBABA
Luxemburgo;LUX;1981;0.99061763;1981;#C43E3E
Marruecos;MAR;1981;5.1364617;1981;#4B4BB0
México;MEX;1981;7.5373635;1981;#4B4BB0
Malasia;MYS;1981;3.5273147;1981;#720034
Países Bajos;NLD;1981;1.6736997;1981;#720034
Noruega;NOR;1981;68.59787;1981;#608584
Nueva Zelanda;NZL;1981;47.48469;1981;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1981;5.8181744;1981;#FF7B03
Pakistán;PAK;1981;16.780693;1981;#FF7B03
Perú;PER;1981;21.26738;1981;#FF7B03
Polonia;POL;1981;0.5322904;1981;#006CBA
Rumania;ROU;1981;5.1341105;1981;#000000
Arabia Saudita;SAU;1981;0;1981;#000000
Eslovaquia;SVK;1981;9.376169;1981;#C43E3E
Tailandia;THA;1981;6.015194;1981;#4B4BB0
Taiwán (China);TWN;1981;15.080439;1981;#720034
Estados Unidos;USA;1981;8.381008;1981;#608584
Venezuela;VEN;1981;9.426736;1981;#FF7B03
Vietnam;VNM;1981;8.2104645;1981;#FF7B03
Sudáfrica;ZAF;1981;0.65005094;1981;#FF7B03
Australia;AUS;1982;4.6367826;1982;#C43E3E
Austria;AUT;1982;30.31977;1982;#4B4BB0
Bélgica;BEL;1982;8.852228;1982;#608584
Bangladesh;BGD;1982;3.8052511;1982;#608584
Bulgaria;BGR;1982;11.650768;1982;#FF7B03
Canadá;CAN;1982;33.57675;1982;#006CBA
Suiza;CHE;1982;50.06023;1982;#000000
China;CHN;1982;4.4212723;1982;#C43E3E
Colombia;COL;1982;23.009438;1982;#C43E3E
República Checa;CZE;1982;0.8108596;1982;#4B4BB0
Argentina;ARG;1982;12.366886;1982;#FF7B03
Alemania;DEU;1982;6.94745;1982;#4B4BB0
Brasil;BRA;1982;37.79666;1982;#006CBA
Chile;CHL;1982;26.627869;1982;#000000
Mundo;OWID_WRL;1982;10.546408;1982;#ABBABA
Argelia;DZA;1982;0.5708701;1982;#720034
Egipto;EGY;1982;11.533038;1982;#608584
España;ESP;1982;11.669606;1982;#FF7B03
Finlandia;FIN;1982;32.57894;1982;#000000
Francia;FRA;1982;23.749939;1982;#000000
Reino Unido;GBR;1982;6.0469975;1982;#C43E3E
Grecia;GRC;1982;5.2865105;1982;#C43E3E
Hungría;HUN;1982;0.14692831;1982;#720034
Indonesia;IDN;1982;1.2204517;1982;#720034
India;IND;1982;11.493147;1982;#608584
Irlanda;IRL;1982;2.4390516;1982;#608584
Irán;IRN;1982;4.111237;1982;#608584
Israel;ISR;1982;0.005812406;1982;#FF7B03
Italia;ITA;1982;9.199923;1982;#ABBABA
Japón;JPN;1982;13.922405;1982;#ABBABA
Luxemburgo;LUX;1982;0.9594649;1982;#C43E3E
Marruecos;MAR;1982;2.7842176;1982;#4B4BB0
México;MEX;1982;6.8430977;1982;#4B4BB0
Malasia;MYS;1982;3.1702034;1982;#720034
Países Bajos;NLD;1982;1.5572321;1982;#720034
Noruega;NOR;1982;69.16161;1982;#608584
Nueva Zelanda;NZL;1982;43.100174;1982;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1982;5.6887503;1982;#FF7B03
Pakistán;PAK;1982;17.143526;1982;#FF7B03
Perú;PER;1982;22.379803;1982;#FF7B03
Polonia;POL;1982;0.39483663;1982;#006CBA
Rumania;ROU;1982;4.8196645;1982;#000000
Arabia Saudita;SAU;1982;0;1982;#000000
Eslovaquia;SVK;1982;10.080485;1982;#C43E3E
Tailandia;THA;1982;7.5709677;1982;#4B4BB0
Turquía;TUR;1982;12.745108;1982;#720034
Taiwán (China);TWN;1982;15.588453;1982;#720034
Estados Unidos;USA;1982;9.628787;1982;#608584
Venezuela;VEN;1982;9.688069;1982;#FF7B03
Vietnam;VNM;1982;7.957216;1982;#FF7B03
Sudáfrica;ZAF;1982;0.37149048;1982;#FF7B03
Australia;AUS;1983;4.534481;1983;#C43E3E
Austria;AUT;1983;30.117786;1983;#4B4BB0
Bélgica;BEL;1983;13.9216795;1983;#608584
Bangladesh;BGD;1983;4.870658;1983;#608584
Bulgaria;BGR;1983;13.141084;1983;#FF7B03
Canadá;CAN;1983;35.803665;1983;#006CBA
Suiza;CHE;1983;47.80799;1983;#000000
China;CHN;1983;4.8234906;1983;#C43E3E
Colombia;COL;1983;22.032003;1983;#C43E3E
República Checa;CZE;1983;0.89533144;1983;#4B4BB0
Alemania;DEU;1983;7.0113754;1983;#4B4BB0
Dinamarca;DNK;1983;0.14966652;1983;#720034
Argentina;ARG;1983;13.302724;1983;#FF7B03
Brasil;BRA;1983;41.02851;1983;#006CBA
Chile;CHL;1983;27.825817;1983;#000000
Mundo;OWID_WRL;1983;11.149119;1983;#ABBABA
Argelia;DZA;1983;0.25644946;1983;#720034
Egipto;EGY;1983;9.980415;1983;#608584
España;ESP;1983;12.242547;1983;#FF7B03
Finlandia;FIN;1983;34.468693;1983;#000000
Francia;FRA;1983;27.476105;1983;#000000
Reino Unido;GBR;1983;6.7592278;1983;#C43E3E
Grecia;GRC;1983;3.454517;1983;#C43E3E
Hungría;HUN;1983;2.3771007;1983;#720034
Indonesia;IDN;1983;1.7323705;1983;#720034
India;IND;1983;10.732102;1983;#608584
Irlanda;IRL;1983;2.4031906;1983;#608584
Irán;IRN;1983;3.3884645;1983;#608584
Israel;ISR;1983;0.002904362;1983;#FF7B03
Italia;ITA;1983;9.190798;1983;#ABBABA
Japón;JPN;1983;14.839226;1983;#ABBABA
Luxemburgo;LUX;1983;1.0039246;1983;#C43E3E
Marruecos;MAR;1983;2.2804005;1983;#4B4BB0
México;MEX;1983;6.308686;1983;#4B4BB0
Malasia;MYS;1983;3.213416;1983;#720034
Países Bajos;NLD;1983;1.4219129;1983;#720034
Noruega;NOR;1983;71.88228;1983;#608584
Nueva Zelanda;NZL;1983;44.462418;1983;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1983;5.908102;1983;#FF7B03
Pakistán;PAK;1983;18.630857;1983;#FF7B03
Perú;PER;1983;24.702398;1983;#FF7B03
Polonia;POL;1983;0.44284835;1983;#006CBA
Rumania;ROU;1983;4.1099563;1983;#000000
Arabia Saudita;SAU;1983;0;1983;#000000
Eslovaquia;SVK;1983;10.604702;1983;#C43E3E
Tailandia;THA;1983;6.5891347;1983;#4B4BB0
Turquía;TUR;1983;9.873128;1983;#720034
Taiwán (China);TWN;1983;18.794779;1983;#720034
Estados Unidos;USA;1983;10.2414255;1983;#608584
Venezuela;VEN;1983;11.105164;1983;#FF7B03
Vietnam;VNM;1983;5.9674644;1983;#FF7B03
Sudáfrica;ZAF;1983;0.21470517;1983;#FF7B03
Australia;AUS;1984;4.7184544;1984;#C43E3E
Austria;AUT;1984;26.68983;1984;#4B4BB0
Bélgica;BEL;1984;15.309538;1984;#608584
Bangladesh;BGD;1984;6.1055837;1984;#608584
Bulgaria;BGR;1984;13.485257;1984;#FF7B03
Canadá;CAN;1984;36.21152;1984;#006CBA
Suiza;CHE;1984;46.826828;1984;#000000
China;CHN;1984;4.515455;1984;#C43E3E
Colombia;COL;1984;24.247952;1984;#C43E3E
República Checa;CZE;1984;1.1667187;1984;#4B4BB0
Alemania;DEU;1984;8.540656;1984;#4B4BB0
Dinamarca;DNK;1984;0.15148832;1984;#720034
Argentina;ARG;1984;14.838512;1984;#FF7B03
Brasil;BRA;1984;43.019447;1984;#006CBA
Chile;CHL;1984;27.770302;1984;#000000
Argelia;DZA;1984;0.5136736;1984;#720034
Mundo;OWID_WRL;1984;11.675484;1984;#ABBABA
Egipto;EGY;1984;8.979603;1984;#608584
España;ESP;1984;17.25076;1984;#FF7B03
Finlandia;FIN;1984;33.90457;1984;#000000
Francia;FRA;1984;31.831202;1984;#000000
Reino Unido;GBR;1984;7.263492;1984;#C43E3E
Grecia;GRC;1984;4.0465713;1984;#C43E3E
Hungría;HUN;1984;3.4739003;1984;#720034
Indonesia;IDN;1984;1.7180939;1984;#720034
India;IND;1984;11.339728;1984;#608584
Irlanda;IRL;1984;2.1390052;1984;#608584
Irán;IRN;1984;2.9317567;1984;#608584
Israel;ISR;1984;0.005582046;1984;#FF7B03
Italia;ITA;1984;9.424901;1984;#ABBABA
Japón;JPN;1984;14.190346;1984;#ABBABA
Luxemburgo;LUX;1984;1.0007659;1984;#C43E3E
Marruecos;MAR;1984;1.7123275;1984;#4B4BB0
México;MEX;1984;6.831296;1984;#4B4BB0
Malasia;MYS;1984;5.8833213;1984;#720034
Países Bajos;NLD;1984;1.3274013;1984;#720034
Noruega;NOR;1984;71.13632;1984;#608584
Nueva Zelanda;NZL;1984;43.45358;1984;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1984;6.75758;1984;#FF7B03
Pakistán;PAK;1984;18.312424;1984;#FF7B03
Perú;PER;1984;25.10971;1984;#FF7B03
Polonia;POL;1984;0.3671588;1984;#006CBA
Rumania;ROU;1984;4.670981;1984;#000000
Arabia Saudita;SAU;1984;0;1984;#000000
Eslovaquia;SVK;1984;10.821858;1984;#C43E3E
Tailandia;THA;1984;6.626251;1984;#4B4BB0
Turquía;TUR;1984;11.116493;1984;#720034
Taiwán (China);TWN;1984;21.796032;1984;#720034
Estados Unidos;USA;1984;10.170345;1984;#608584
Venezuela;VEN;1984;12.205674;1984;#FF7B03
Vietnam;VNM;1984;7.7337303;1984;#FF7B03
Sudáfrica;ZAF;1984;1.4285707;1984;#FF7B03
Australia;AUS;1985;4.863155;1985;#C43E3E
Austria;AUT;1985;29.769283;1985;#4B4BB0
Azerbaiyán;AZE;1985;1.6519357;1985;#720034
Bélgica;BEL;1985;18.222717;1985;#608584
Bangladesh;BGD;1985;4.526682;1985;#608584
Bulgaria;BGR;1985;13.023737;1985;#FF7B03
Bielorrusia;BLR;1985;0.014493478;1985;#FF7B03
Canadá;CAN;1985;37.621876;1985;#006CBA
Suiza;CHE;1985;49.264248;1985;#000000
China;CHN;1985;4.441829;1985;#C43E3E
Colombia;COL;1985;25.23612;1985;#C43E3E
República Checa;CZE;1985;1.8594567;1985;#4B4BB0
Alemania;DEU;1985;10.49098;1985;#4B4BB0
Dinamarca;DNK;1985;0.16285837;1985;#720034
Argelia;DZA;1985;0.72826535;1985;#720034
Argentina;ARG;1985;16.157017;1985;#FF7B03
Brasil;BRA;1985;43.810577;1985;#006CBA
Chile;CHL;1985;30.351582;1985;#000000
Egipto;EGY;1985;8.225813;1985;#608584
Mundo;OWID_WRL;1985;12.323187;1985;#ABBABA
España;ESP;1985;18.870678;1985;#FF7B03
Estonia;EST;1985;0;1985;#FF7B03
Finlandia;FIN;1985;31.55871;1985;#000000
Francia;FRA;1985;34.250317;1985;#000000
Reino Unido;GBR;1985;7.7404714;1985;#C43E3E
Grecia;GRC;1985;3.7546217;1985;#C43E3E
Hungría;HUN;1985;5.6528172;1985;#720034
Indonesia;IDN;1985;1.9808587;1985;#720034
India;IND;1985;10.478157;1985;#608584
Irlanda;IRL;1985;2.487561;1985;#608584
Irán;IRN;1985;2.7088299;1985;#608584
Israel;ISR;1985;0.00601886;1985;#FF7B03
Italia;ITA;1985;9.136989;1985;#ABBABA
Japón;JPN;1985;16.466648;1985;#ABBABA
Kazajistán;KAZ;1985;1.9355252;1985;#006CBA
Lituania;LTU;1985;15.52998;1985;#C43E3E
Luxemburgo;LUX;1985;0.81546617;1985;#C43E3E
Letonia;LVA;1985;8.286784;1985;#4B4BB0
Marruecos;MAR;1985;2.2006679;1985;#4B4BB0
México;MEX;1985;7.82051;1985;#4B4BB0
Malasia;MYS;1985;6.482968;1985;#720034
Países Bajos;NLD;1985;1.5166957;1985;#720034
Noruega;NOR;1985;69.52918;1985;#608584
Nueva Zelanda;NZL;1985;41.613804;1985;#608584
Pakistán;PAK;1985;18.1585;1985;#FF7B03
Perú;PER;1985;27.571493;1985;#FF7B03
Polonia;POL;1985;0.4598646;1985;#006CBA
Rumania;ROU;1985;5.2583566;1985;#000000
Rusia;RUS;1985;7.8923173;1985;#000000
Arabia Saudita;SAU;1985;0;1985;#000000
Eslovaquia;SVK;1985;13.719656;1985;#C43E3E
Suecia;SWE;1985;55.210285;1985;#4B4BB0
Tailandia;THA;1985;5.7355323;1985;#4B4BB0
Turkmenistán;TKM;1985;0.006198966;1985;#4B4BB0
Turquía;TUR;1985;9.229306;1985;#720034
Taiwán (China);TWN;1985;24.982508;1985;#720034
Ucrania;UKR;1985;6.5788693;1985;#608584
Estados Unidos;USA;1985;10.443619;1985;#608584
Uzbekistán;UZB;1985;3.4460564;1985;#608584
Venezuela;VEN;1985;13.293667;1985;#FF7B03
Vietnam;VNM;1985;7.0842214;1985;#FF7B03
Sudáfrica;ZAF;1985;1.8507943;1985;#FF7B03
Australia;AUS;1986;4.7985597;1986;#C43E3E
Austria;AUT;1986;30.177652;1986;#4B4BB0
Azerbaiyán;AZE;1986;0.9406936;1986;#720034
Bélgica;BEL;1986;20.147831;1986;#608584
Bangladesh;BGD;1986;2.5327973;1986;#608584
Bulgaria;BGR;1986;11.968174;1986;#FF7B03
Bielorrusia;BLR;1986;0.012695331;1986;#FF7B03
Canadá;CAN;1986;39.055515;1986;#006CBA
Suiza;CHE;1986;47.78144;1986;#000000
China;CHN;1986;4.3385277;1986;#C43E3E
Colombia;COL;1986;27.80027;1986;#C43E3E
República Checa;CZE;1986;3.6011386;1986;#4B4BB0
Alemania;DEU;1986;10.113061;1986;#4B4BB0
Dinamarca;DNK;1986;0.27791974;1986;#720034
Argelia;DZA;1986;0.2664045;1986;#720034
Egipto;EGY;1986;7.8884335;1986;#608584
Argentina;ARG;1986;15.482304;1986;#FF7B03
Brasil;BRA;1986;42.815575;1986;#006CBA
Chile;CHL;1986;31.423769;1986;#000000
España;ESP;1986;19.78858;1986;#FF7B03
Mundo;OWID_WRL;1986;12.535581;1986;#ABBABA
Estonia;EST;1986;0;1986;#FF7B03
Finlandia;FIN;1986;31.275412;1986;#000000
Francia;FRA;1986;36.9464;1986;#000000
Reino Unido;GBR;1986;7.396672;1986;#C43E3E
Grecia;GRC;1986;4.321012;1986;#C43E3E
Hungría;HUN;1986;6.485686;1986;#720034
Indonesia;IDN;1986;2.9868257;1986;#720034
India;IND;1986;10.0077715;1986;#608584
Irlanda;IRL;1986;2.5271845;1986;#608584
Irán;IRN;1986;3.4556096;1986;#608584
Israel;ISR;1986;0.017165788;1986;#FF7B03
Italia;ITA;1986;9.223572;1986;#ABBABA
Japón;JPN;1986;16.753815;1986;#ABBABA
Kazajistán;KAZ;1986;1.7365297;1986;#006CBA
República de Corea;KOR;1986;12.781332;1986;#006CBA
Lituania;LTU;1986;17.499424;1986;#C43E3E
Luxemburgo;LUX;1986;0.9784457;1986;#C43E3E
Letonia;LVA;1986;8.983882;1986;#4B4BB0
Marruecos;MAR;1986;2.8153405;1986;#4B4BB0
México;MEX;1986;6.596592;1986;#4B4BB0
Malasia;MYS;1986;6.458532;1986;#720034
Países Bajos;NLD;1986;1.5909495;1986;#720034
Noruega;NOR;1986;66.9773;1986;#608584
Nueva Zelanda;NZL;1986;42.98595;1986;#608584
Pakistán;PAK;1986;16.570778;1986;#FF7B03
Perú;PER;1986;27.36942;1986;#FF7B03
Polonia;POL;1986;0.38169914;1986;#006CBA
Rumania;ROU;1986;4.3782783;1986;#000000
Rusia;RUS;1986;8.067212;1986;#000000
Arabia Saudita;SAU;1986;0;1986;#000000
Eslovaquia;SVK;1986;16.076738;1986;#C43E3E
Suecia;SWE;1986;53.703384;1986;#4B4BB0
Tailandia;THA;1986;8.074997;1986;#4B4BB0
Turkmenistán;TKM;1986;0.004980687;1986;#4B4BB0
Turquía;TUR;1986;8.374288;1986;#720034
Taiwán (China);TWN;1986;21.872889;1986;#720034
Ucrania;UKR;1986;5.467161;1986;#608584
Estados Unidos;USA;1986;10.968868;1986;#608584
Uzbekistán;UZB;1986;2.9860458;1986;#608584
Venezuela;VEN;1986;13.745109;1986;#FF7B03
Vietnam;VNM;1986;6.225277;1986;#FF7B03
Sudáfrica;ZAF;1986;3.1960719;1986;#FF7B03
Australia;AUS;1987;4.532893;1987;#C43E3E
Austria;AUT;1987;32.193813;1987;#4B4BB0
Azerbaiyán;AZE;1987;0.9706842;1987;#720034
Bélgica;BEL;1987;20.878838;1987;#608584
Bangladesh;BGD;1987;2.6365013;1987;#608584
Bulgaria;BGR;1987;12.356301;1987;#FF7B03
Bielorrusia;BLR;1987;0.012513183;1987;#FF7B03
Canadá;CAN;1987;39.012127;1987;#006CBA
Suiza;CHE;1987;50.01514;1987;#000000
China;CHN;1987;4.2555475;1987;#C43E3E
Colombia;COL;1987;27.698511;1987;#C43E3E
República Checa;CZE;1987;5.76394;1987;#4B4BB0
Alemania;DEU;1987;10.880976;1987;#4B4BB0
Dinamarca;DNK;1987;0.37065881;1987;#720034
Argelia;DZA;1987;0.5174274;1987;#720034
Egipto;EGY;1987;7.4370356;1987;#608584
España;ESP;1987;20.471462;1987;#FF7B03
Argentina;ARG;1987;15.696147;1987;#FF7B03
Brasil;BRA;1987;42.589603;1987;#006CBA
Chile;CHL;1987;32.36392;1987;#000000
Estonia;EST;1987;0;1987;#FF7B03
Mundo;OWID_WRL;1987;12.671119;1987;#ABBABA
Finlandia;FIN;1987;31.598085;1987;#000000
